201117_0859,1,globals,Period,NumPeriods,RepeatTreatment,PracticePeriods,R1WT,R2WT,R3WT,RoundsFor1,RoundsFor2,RoundsFor3,num_subjects,r,r2,r3,r4,r5,Value,i,AuctionStop,AuctionNoStop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201117_0859,1,globals,1,30,0,14,15,1,1,4,4,4,8,0.021464434,0.723757157,0.985106356,0.002990955,0.405792568,80,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201117_0859,1,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,Type,rand,rank,Map,partner,Player,TimeContinueExplainExperimentOK,TimeContinueExplainExperimentInDepthOK,TimeContinueExplainZonesOK,Value,Loss,EZ1,TimeSubmitPracticeSingleZoneOK,pEZ1,PrWin1Z,Win1Z,pWin1Z,PO,TimeContinuePracticeSingleZoneWithInfoOK,PracProb1,TimeSubmitPracticeSingleZoneProbCalcOK,TimeContinueExplainDistrictsOK,TimeContinueExplainWinningCombinationsOK,ED1,TimeSubmitPractice1DistrictNoAdvOK,pED1,PrWin1D,Win1D,pWin1D,TimeContinuePractice1DistrictNoAdvWithInfoOK,PracProb2,TimeSubmitPractice1DistrictNoAdvProbCalcOK,TimeSubmitPractice1DistrictAdvBOK,PrWin1Da,PrWin1Db,TimeContinuePractice1DistrictAdvBWithInfoOK,TimeSubmitPractice1DistrictAdvAProbCalcAOK,PracProb3,TimeSubmitPractice1DistrictAdvBProbCalcEqualEffortOK,TimeSubmitPractice1DistrictAdvAAProbCalcAAWinOK,TimeSubmitPractice1DistrictAdvBBBProbCalcBBBOK,TimeContinueExplainRegionsOK,AnswerRegionQ,TimeContinuePractice1RegionOK,TimeContinueExplainMapsOK,TimeContinueExplainStage1OK,EDG5,ELG5,EW5,EDG4,ELG4,EW4,EDG3,ELG3,EW3,EDG2,ELG2,EW2,EDG1,ELG1,EW1,TimeSubmitStage1WithTimeOK,pEDG5,pELG5,pEW5,pEDG4,pELG4,pEW4,pEDG3,pELG3,pEW3,pEDG2,pELG2,pEW2,pEDG1,pELG1,pEW1,PrWin1a,PrWin1b,PrWin1,PrWin2a,PrWin2b,PrWin2,PrWin3a,PrWin3b,PrWin3,PrWin4a,PrWin4,PrWin5a,PrWin5b,PrWin5,Win1,Win2,Win3,Win4,Win5,pWin1,pWin2,pWin3,pWin4,pWin5,h,r_round,pr_round,Win_practice,TE1,TE2,TE3,TE4,TE5,PO1,PO2,PO3,PO4,PO5,PWDG1,PWLG1,PWW1,PWDG2,PWLG2,PWW2,PWDG3,PWLG3,PWW3,PWDG4,PWLG4,PWw4,PWDG5,PWLG5,PWW5,PWW4,TimeNextRoundStage1WithTimeWithInfoUpdateOK,TimeSubmitStage1OK,TimeNextRoundStage1WithInfoUpdateOK,TimeContinueExplainStage2OK,TimeSubmitStage2WithTimeAllPickOK,pMap,k,Comp_Map,pComp_Map,Win_Stage_2,TimeNextRoundStage2WithTimeAllPickWithInfoUpdateOK,TimeSubmitStage2AllPickOK,TimeNextRoundStage2AllPickWithInfoUpdateOK,TimeContinueExplainVeilOfIgnoranceOK,TimeSubmitStage3WithTimeBothPickAMapOK,t,LType,pLType,TimeSubmitStage3WithTimeAllEffortsOK,Win_Stage_4,TimeNextRoundStage3WithTimeOutcomeWithInfoUpdateOK,TimeSubmitStage3BothPickAMapOK,TimeSubmitStage3AllEffortsOK,TimeNextRoundStage3OutcomeWithInfoUpdateOK,TimeFinishedStage4EndOfComputerizedProcessOK,LeaveStage,,,,,,,,,,,,,,,,
201117_0859,1,subjects,1,1,4,0,0,0,1,0.499606628,4,-1,5,A,0,0,0,80,0,0,0,0,0.5,1,-1,80,0,0,0,0,0,0,0,0,0.25,1,-1,0,0,0,0,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,#NAME?,0.75,#NAME?,#NAME?,0.5,#NAME?,#NAME?,0.5,0.5,0.5,#NAME?,#NAME?,0.25,0,1,1,0,0,1,0,0,1,1,0.180897877,1,1,1,0,0,0,0,0,0,80,80,0,0,1,0,0.5,1,0,0.5,1,0,0.5,#NAME?,#NAME?,#NAME?,1,0,0.5,0.5,0,0,0,0,0,-1,0.924828049,-1,-1,1,0,0,0,0,0,0.588246834,B,B,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
201117_0859,1,subjects,1,2,2,0,0,0,1,0.353668063,2,-1,6,A,0,0,0,80,0,0,0,0,0.5,1,-1,80,0,0,0,0,0,0,0,0,0.25,1,-1,0,0,0,0,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,#NAME?,0.25,#NAME?,#NAME?,0.5,#NAME?,#NAME?,0.5,0.5,0.5,#NAME?,#NAME?,0.75,1,0,0,1,1,-1,-1,-1,-1,-1,0.686063804,4,3,1,0,0,0,0,0,80,0,0,80,80,0,1,0.5,0,1,0.5,0,1,0.5,#NAME?,#NAME?,#NAME?,0,1,0.5,0.5,0,0,0,0,0,-1,0.976387854,-1,-1,1,0,0,0,0,0,0.175059342,A,B,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
201117_0859,1,subjects,1,3,3,0,0,0,1,0.427713957,3,-1,8,A,0,0,0,80,0,0,0,0,0.5,1,-1,80,0,0,0,0,0,0,0,0,0.25,1,-1,0,0,0,0,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,#NAME?,0.75,#NAME?,#NAME?,0.5,#NAME?,#NAME?,0.5,0.5,0.5,#NAME?,#NAME?,0.25,0,1,1,0,0,1,0,0,1,1,0.496322131,3,4,0,0,0,0,0,0,0,80,80,0,0,1,0,0.5,1,0,0.5,1,0,0.5,#NAME?,#NAME?,#NAME?,1,0,0.5,0.5,0,0,0,0,0,-1,0.854144069,-1,-1,1,0,0,0,0,0,0.83360309,B,B,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
201117_0859,1,subjects,1,4,1,0,0,0,1,0.296691944,1,-1,7,A,0,0,0,80,0,0,0,0,0.5,1,-1,80,0,0,0,0,0,0,0,0,0.25,1,-1,0,0,0,0,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,#NAME?,0.25,#NAME?,#NAME?,0.5,#NAME?,#NAME?,0.5,0.5,0.5,#NAME?,#NAME?,0.75,1,0,0,1,1,-1,-1,-1,-1,-1,0.186537255,1,4,1,0,0,0,0,0,80,0,0,80,80,0,1,0.5,0,1,0.5,0,1,0.5,#NAME?,#NAME?,#NAME?,0,1,0.5,0.5,0,0,0,0,0,-1,0.653657725,-1,-1,1,0,0,0,0,0,0.432261392,A,B,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
201117_0859,1,subjects,1,5,4,0,0,0,2,0.914232142,8,-1,1,B,0,0,0,80,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.75,0,1,0,0,0,0,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,#NAME?,0.25,#NAME?,#NAME?,0.5,#NAME?,#NAME?,0.5,0.5,0.5,#NAME?,#NAME?,0.75,1,0,0,1,1,0,1,1,0,0,0.101036489,1,1,0,0,0,0,0,0,80,0,0,80,80,0,1,0.5,0,1,0.5,0,1,0.5,#NAME?,#NAME?,#NAME?,0,1,0.5,0.5,0,0,0,0,0,-1,0.222359432,-1,-1,0,0,0,0,0,0,0.012005585,A,B,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
201117_0859,1,subjects,1,6,2,0,0,0,2,0.699828091,6,-1,2,B,0,0,0,80,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.75,0,1,0,0,0,0,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,#NAME?,0.75,#NAME?,#NAME?,0.5,#NAME?,#NAME?,0.5,0.5,0.5,#NAME?,#NAME?,0.25,0,1,1,0,0,1,0,0,1,1,0.500488542,4,4,0,0,0,0,0,0,0,80,80,0,0,1,0,0.5,1,0,0.5,1,0,0.5,#NAME?,#NAME?,#NAME?,1,0,0.5,0.5,0,0,0,0,0,-1,0.812879973,-1,-1,0,0,0,0,0,0,0.19827346,B,A,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
201117_0859,1,subjects,1,7,1,0,0,0,2,0.691017259,5,-1,4,B,0,0,0,80,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.75,0,1,0,0,0,0,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,#NAME?,0.75,#NAME?,#NAME?,0.5,#NAME?,#NAME?,0.5,0.5,0.5,#NAME?,#NAME?,0.25,0,1,1,0,0,1,0,0,1,1,0.14463857,1,1,0,0,0,0,0,0,0,80,80,0,0,1,0,0.5,1,0,0.5,1,0,0.5,#NAME?,#NAME?,#NAME?,1,0,0.5,0.5,0,0,0,0,0,-1,0.188932503,-1,-1,0,0,0,0,0,0,0.243963054,B,A,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
201117_0859,1,subjects,1,8,3,0,0,0,2,0.828942614,7,-1,3,B,0,0,0,80,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.75,0,1,0,0,0,0,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,#NAME?,0.25,#NAME?,#NAME?,0.5,#NAME?,#NAME?,0.5,0.5,0.5,#NAME?,#NAME?,0.75,1,0,0,1,1,0,1,1,0,0,0.385802398,3,3,1,0,0,0,0,0,80,0,0,80,80,0,1,0.5,0,1,0.5,0,1,0.5,#NAME?,#NAME?,#NAME?,0,1,0.5,0.5,0,0,0,0,0,-1,0.102922168,-1,-1,0,0,0,0,0,0,0.678948072,A,B,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
201117_0859,1,contracts,Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
