"Period","Stage","Subject","Map_Choice","District","Map","Effort"
15,"1","1","-1","EDG",5,30
15,"1","2","-1","EDG",5,0
15,"1","3","-1","EDG",5,0
15,"1","4","-1","EDG",5,0
15,"1","5","-1","EDG",5,0
15,"1","6","-1","EDG",5,0
15,"1","7","-1","EDG",5,0
15,"1","8","-1","EDG",5,0
16,"1","1","-1","EDG",5,55
16,"1","2","-1","EDG",5,0
16,"1","3","-1","EDG",5,0
16,"1","4","-1","EDG",5,0
16,"1","5","-1","EDG",5,0
16,"1","6","-1","EDG",5,0
16,"1","7","-1","EDG",5,0
16,"1","8","-1","EDG",5,0
17,"1","1","-1","EDG",5,10
17,"1","2","-1","EDG",5,0
17,"1","3","-1","EDG",5,0
17,"1","4","-1","EDG",5,0
17,"1","5","-1","EDG",5,0
17,"1","6","-1","EDG",5,0
17,"1","7","-1","EDG",5,0
17,"1","8","-1","EDG",5,0
18,"1","1","-1","EDG",5,30
18,"1","2","-1","EDG",5,0
18,"1","3","-1","EDG",5,0
18,"1","4","-1","EDG",5,0
18,"1","5","-1","EDG",5,0
18,"1","6","-1","EDG",5,0
18,"1","7","-1","EDG",5,0
18,"1","8","-1","EDG",5,0
19,"1","1","-1","EDG",5,12
19,"1","2","-1","EDG",5,0
19,"1","3","-1","EDG",5,0
19,"1","4","-1","EDG",5,0
19,"1","5","-1","EDG",5,0
19,"1","6","-1","EDG",5,0
19,"1","7","-1","EDG",5,0
19,"1","8","-1","EDG",5,0
20,"2","1","1","EDG",5,20
20,"2","2","5","EDG",5,0
20,"2","3","1","EDG",5,0
20,"2","4","2","EDG",5,0
20,"2","5","1","EDG",5,0
20,"2","6","3","EDG",5,0
20,"2","7","1","EDG",5,0
20,"2","8","1","EDG",5,0
21,"2","1","3","EDG",5,6
21,"2","2","5","EDG",5,0
21,"2","3","1","EDG",5,0
21,"2","4","2","EDG",5,0
21,"2","5","1","EDG",5,0
21,"2","6","1","EDG",5,0
21,"2","7","1","EDG",5,0
21,"2","8","1","EDG",5,0
22,"2","1","5","EDG",5,5
22,"2","2","5","EDG",5,0
22,"2","3","2","EDG",5,0
22,"2","4","2","EDG",5,0
22,"2","5","1","EDG",5,0
22,"2","6","2","EDG",5,0
22,"2","7","1","EDG",5,0
22,"2","8","1","EDG",5,0
23,"2","1","4","EDG",5,15
23,"2","2","5","EDG",5,0
23,"2","3","2","EDG",5,0
23,"2","4","2","EDG",5,0
23,"2","5","1","EDG",5,0
23,"2","6","1","EDG",5,0
23,"2","7","1","EDG",5,0
23,"2","8","1","EDG",5,0
24,"2","1","3","EDG",5,8
24,"2","2","5","EDG",5,0
24,"2","3","5","EDG",5,0
24,"2","4","2","EDG",5,0
24,"2","5","1","EDG",5,0
24,"2","6","1","EDG",5,0
24,"2","7","1","EDG",5,0
24,"2","8","1","EDG",5,0
25,"3","1","3","EDG",5,5
25,"3","2","2","EDG",5,0
25,"3","3","2","EDG",5,0
25,"3","4","4","EDG",5,0
25,"3","5","5","EDG",5,0
25,"3","6","3","EDG",5,0
25,"3","7","2","EDG",5,0
25,"3","8","2","EDG",5,0
26,"3","1","5","EDG",5,50
26,"3","2","2","EDG",5,0
26,"3","3","3","EDG",5,0
26,"3","4","2","EDG",5,0
26,"3","5","5","EDG",5,0
26,"3","6","4","EDG",5,0
26,"3","7","2","EDG",5,0
26,"3","8","2","EDG",5,0
27,"3","1","1","EDG",5,20
27,"3","2","5","EDG",5,0
27,"3","3","3","EDG",5,0
27,"3","4","2","EDG",5,0
27,"3","5","1","EDG",5,0
27,"3","6","4","EDG",5,0
27,"3","7","1","EDG",5,0
27,"3","8","2","EDG",5,0
28,"3","1","3","EDG",5,5
28,"3","2","5","EDG",5,0
28,"3","3","3","EDG",5,0
28,"3","4","2","EDG",5,0
28,"3","5","1","EDG",5,0
28,"3","6","1","EDG",5,0
28,"3","7","1","EDG",5,0
28,"3","8","2","EDG",5,0
29,"3","1","2","EDG",5,5
29,"3","2","5","EDG",5,0
29,"3","3","3","EDG",5,0
29,"3","4","2","EDG",5,0
29,"3","5","5","EDG",5,0
29,"3","6","1","EDG",5,0
29,"3","7","1","EDG",5,0
29,"3","8","2","EDG",5,0
15,"1","1","-1","ELG",5,50
15,"1","2","-1","ELG",5,0
15,"1","3","-1","ELG",5,10
15,"1","4","-1","ELG",5,0
15,"1","5","-1","ELG",5,0
15,"1","6","-1","ELG",5,0
15,"1","7","-1","ELG",5,0
15,"1","8","-1","ELG",5,0
16,"1","1","-1","ELG",5,25
16,"1","2","-1","ELG",5,0
16,"1","3","-1","ELG",5,10
16,"1","4","-1","ELG",5,0
16,"1","5","-1","ELG",5,0
16,"1","6","-1","ELG",5,0
16,"1","7","-1","ELG",5,0
16,"1","8","-1","ELG",5,0
17,"1","1","-1","ELG",5,14
17,"1","2","-1","ELG",5,0
17,"1","3","-1","ELG",5,0
17,"1","4","-1","ELG",5,0
17,"1","5","-1","ELG",5,0
17,"1","6","-1","ELG",5,0
17,"1","7","-1","ELG",5,0
17,"1","8","-1","ELG",5,0
18,"1","1","-1","ELG",5,40
18,"1","2","-1","ELG",5,0
18,"1","3","-1","ELG",5,0
18,"1","4","-1","ELG",5,0
18,"1","5","-1","ELG",5,0
18,"1","6","-1","ELG",5,0
18,"1","7","-1","ELG",5,0
18,"1","8","-1","ELG",5,0
19,"1","1","-1","ELG",5,14
19,"1","2","-1","ELG",5,0
19,"1","3","-1","ELG",5,0
19,"1","4","-1","ELG",5,0
19,"1","5","-1","ELG",5,0
19,"1","6","-1","ELG",5,0
19,"1","7","-1","ELG",5,0
19,"1","8","-1","ELG",5,0
20,"2","1","1","ELG",5,15
20,"2","2","5","ELG",5,0
20,"2","3","1","ELG",5,0
20,"2","4","2","ELG",5,0
20,"2","5","1","ELG",5,0
20,"2","6","3","ELG",5,0
20,"2","7","1","ELG",5,0
20,"2","8","1","ELG",5,0
21,"2","1","3","ELG",5,7
21,"2","2","5","ELG",5,0
21,"2","3","1","ELG",5,0
21,"2","4","2","ELG",5,0
21,"2","5","1","ELG",5,0
21,"2","6","1","ELG",5,0
21,"2","7","1","ELG",5,0
21,"2","8","1","ELG",5,0
22,"2","1","5","ELG",5,5
22,"2","2","5","ELG",5,0
22,"2","3","2","ELG",5,0
22,"2","4","2","ELG",5,0
22,"2","5","1","ELG",5,0
22,"2","6","2","ELG",5,0
22,"2","7","1","ELG",5,0
22,"2","8","1","ELG",5,0
23,"2","1","4","ELG",5,15
23,"2","2","5","ELG",5,0
23,"2","3","2","ELG",5,0
23,"2","4","2","ELG",5,0
23,"2","5","1","ELG",5,0
23,"2","6","1","ELG",5,0
23,"2","7","1","ELG",5,0
23,"2","8","1","ELG",5,0
24,"2","1","3","ELG",5,8
24,"2","2","5","ELG",5,0
24,"2","3","5","ELG",5,0
24,"2","4","2","ELG",5,0
24,"2","5","1","ELG",5,0
24,"2","6","1","ELG",5,0
24,"2","7","1","ELG",5,0
24,"2","8","1","ELG",5,0
25,"3","1","3","ELG",5,5
25,"3","2","2","ELG",5,0
25,"3","3","2","ELG",5,0
25,"3","4","4","ELG",5,0
25,"3","5","5","ELG",5,0
25,"3","6","3","ELG",5,0
25,"3","7","2","ELG",5,0
25,"3","8","2","ELG",5,0
26,"3","1","5","ELG",5,20
26,"3","2","2","ELG",5,0
26,"3","3","3","ELG",5,0
26,"3","4","2","ELG",5,0
26,"3","5","5","ELG",5,0
26,"3","6","4","ELG",5,0
26,"3","7","2","ELG",5,0
26,"3","8","2","ELG",5,0
27,"3","1","1","ELG",5,25
27,"3","2","5","ELG",5,0
27,"3","3","3","ELG",5,0
27,"3","4","2","ELG",5,0
27,"3","5","1","ELG",5,0
27,"3","6","4","ELG",5,0
27,"3","7","1","ELG",5,0
27,"3","8","2","ELG",5,0
28,"3","1","3","ELG",5,10
28,"3","2","5","ELG",5,0
28,"3","3","3","ELG",5,0
28,"3","4","2","ELG",5,0
28,"3","5","1","ELG",5,0
28,"3","6","1","ELG",5,0
28,"3","7","1","ELG",5,0
28,"3","8","2","ELG",5,0
29,"3","1","2","ELG",5,50
29,"3","2","5","ELG",5,0
29,"3","3","3","ELG",5,0
29,"3","4","2","ELG",5,0
29,"3","5","5","ELG",5,0
29,"3","6","1","ELG",5,0
29,"3","7","1","ELG",5,0
29,"3","8","2","ELG",5,0
15,"1","1","-1","EW",5,0
15,"1","2","-1","EW",5,40
15,"1","3","-1","EW",5,20
15,"1","4","-1","EW",5,50
15,"1","5","-1","EW",5,20
15,"1","6","-1","EW",5,5
15,"1","7","-1","EW",5,10
15,"1","8","-1","EW",5,30
16,"1","1","-1","EW",5,0
16,"1","2","-1","EW",5,40
16,"1","3","-1","EW",5,20
16,"1","4","-1","EW",5,50
16,"1","5","-1","EW",5,20
16,"1","6","-1","EW",5,50
16,"1","7","-1","EW",5,15
16,"1","8","-1","EW",5,30
17,"1","1","-1","EW",5,20
17,"1","2","-1","EW",5,50
17,"1","3","-1","EW",5,30
17,"1","4","-1","EW",5,40
17,"1","5","-1","EW",5,20
17,"1","6","-1","EW",5,42
17,"1","7","-1","EW",5,0
17,"1","8","-1","EW",5,30
18,"1","1","-1","EW",5,5
18,"1","2","-1","EW",5,40
18,"1","3","-1","EW",5,20
18,"1","4","-1","EW",5,40
18,"1","5","-1","EW",5,20
18,"1","6","-1","EW",5,15
18,"1","7","-1","EW",5,0
18,"1","8","-1","EW",5,30
19,"1","1","-1","EW",5,13
19,"1","2","-1","EW",5,40
19,"1","3","-1","EW",5,20
19,"1","4","-1","EW",5,50
19,"1","5","-1","EW",5,20
19,"1","6","-1","EW",5,25
19,"1","7","-1","EW",5,21
19,"1","8","-1","EW",5,30
20,"2","1","1","EW",5,40
20,"2","2","5","EW",5,40
20,"2","3","1","EW",5,40
20,"2","4","2","EW",5,40
20,"2","5","1","EW",5,0
20,"2","6","3","EW",5,50
20,"2","7","1","EW",5,0
20,"2","8","1","EW",5,20
21,"2","1","3","EW",5,8
21,"2","2","5","EW",5,40
21,"2","3","1","EW",5,15
21,"2","4","2","EW",5,40
21,"2","5","1","EW",5,0
21,"2","6","1","EW",5,60
21,"2","7","1","EW",5,0
21,"2","8","1","EW",5,20
22,"2","1","5","EW",5,5
22,"2","2","5","EW",5,30
22,"2","3","2","EW",5,15
22,"2","4","2","EW",5,50
22,"2","5","1","EW",5,0
22,"2","6","2","EW",5,50
22,"2","7","1","EW",5,0
22,"2","8","1","EW",5,20
23,"2","1","4","EW",5,15
23,"2","2","5","EW",5,35
23,"2","3","2","EW",5,15
23,"2","4","2","EW",5,50
23,"2","5","1","EW",5,0
23,"2","6","1","EW",5,60
23,"2","7","1","EW",5,0
23,"2","8","1","EW",5,20
24,"2","1","3","EW",5,8
24,"2","2","5","EW",5,30
24,"2","3","5","EW",5,27
24,"2","4","2","EW",5,50
24,"2","5","1","EW",5,0
24,"2","6","1","EW",5,60
24,"2","7","1","EW",5,25
24,"2","8","1","EW",5,10
25,"3","1","3","EW",5,5
25,"3","2","2","EW",5,25
25,"3","3","2","EW",5,25
25,"3","4","4","EW",5,40
25,"3","5","5","EW",5,0
25,"3","6","3","EW",5,25
25,"3","7","2","EW",5,24
25,"3","8","2","EW",5,30
26,"3","1","5","EW",5,5
26,"3","2","2","EW",5,20
26,"3","3","3","EW",5,35
26,"3","4","2","EW",5,40
26,"3","5","5","EW",5,80
26,"3","6","4","EW",5,25
26,"3","7","2","EW",5,26
26,"3","8","2","EW",5,20
27,"3","1","1","EW",5,20
27,"3","2","5","EW",5,0
27,"3","3","3","EW",5,25
