"Period","Stage","Subject","Map_Choice","District","Map","Effort"
15,"1","1","-99","EDG",5,0
15,"1","2","-99","EDG",5,0
15,"1","3","-99","EDG",5,0
15,"1","4","-99","EDG",5,20
15,"1","5","-99","EDG",5,10
15,"1","6","-99","EDG",5,0
15,"1","7","-99","EDG",5,0
15,"1","8","-99","EDG",5,0
16,"1","1","-99","EDG",5,0
16,"1","2","-99","EDG",5,0
16,"1","3","-99","EDG",5,0
16,"1","4","-99","EDG",5,1
16,"1","5","-99","EDG",5,30
16,"1","6","-99","EDG",5,0
16,"1","7","-99","EDG",5,0
16,"1","8","-99","EDG",5,0
17,"1","1","-99","EDG",5,0
17,"1","2","-99","EDG",5,0
17,"1","3","-99","EDG",5,0
17,"1","4","-99","EDG",5,80
17,"1","5","-99","EDG",5,10
17,"1","6","-99","EDG",5,0
17,"1","7","-99","EDG",5,0
17,"1","8","-99","EDG",5,0
18,"1","1","-99","EDG",5,0
18,"1","2","-99","EDG",5,0
18,"1","3","-99","EDG",5,0
18,"1","4","-99","EDG",5,20
18,"1","5","-99","EDG",5,30
18,"1","6","-99","EDG",5,0
18,"1","7","-99","EDG",5,0
18,"1","8","-99","EDG",5,0
19,"1","1","-99","EDG",5,0
19,"1","2","-99","EDG",5,0
19,"1","3","-99","EDG",5,0
19,"1","4","-99","EDG",5,40
19,"1","5","-99","EDG",5,10
19,"1","6","-99","EDG",5,0
19,"1","7","-99","EDG",5,0
19,"1","8","-99","EDG",5,0
20,"1","1","-99","EDG",5,0
20,"1","2","-99","EDG",5,0
20,"1","3","-99","EDG",5,0
20,"1","4","-99","EDG",5,20
20,"1","5","-99","EDG",5,20
20,"1","6","-99","EDG",5,0
20,"1","7","-99","EDG",5,0
20,"1","8","-99","EDG",5,0
21,"1","1","-99","EDG",5,0
21,"1","2","-99","EDG",5,0
21,"1","3","-99","EDG",5,0
21,"1","4","-99","EDG",5,20
21,"1","5","-99","EDG",5,20
21,"1","6","-99","EDG",5,0
21,"1","7","-99","EDG",5,0
21,"1","8","-99","EDG",5,0
22,"1","1","-99","EDG",5,0
22,"1","2","-99","EDG",5,0
22,"1","3","-99","EDG",5,0
22,"1","4","-99","EDG",5,0
22,"1","5","-99","EDG",5,20
22,"1","6","-99","EDG",5,0
22,"1","7","-99","EDG",5,0
22,"1","8","-99","EDG",5,0
23,"1","1","-99","EDG",5,0
23,"1","2","-99","EDG",5,0
23,"1","3","-99","EDG",5,0
23,"1","4","-99","EDG",5,0
23,"1","5","-99","EDG",5,10
23,"1","6","-99","EDG",5,0
23,"1","7","-99","EDG",5,0
23,"1","8","-99","EDG",5,0
24,"1","1","-99","EDG",5,0
24,"1","2","-99","EDG",5,0
24,"1","3","-99","EDG",5,0
24,"1","4","-99","EDG",5,0
24,"1","5","-99","EDG",5,10
24,"1","6","-99","EDG",5,0
24,"1","7","-99","EDG",5,0
24,"1","8","-99","EDG",5,0
25,"2","1","5","EDG",5,0
