"","Session","Period","subject.id","Player","District","Map","Effort","District.compare","Advantage","Adv.District.Names","Disadv.District.Names","Renamed.Map","Compare"
"1",1,15,1,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"2",1,15,2,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"3",1,15,3,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"4",1,15,4,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"5",1,15,5,"B","EDG","5",10,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"6",1,15,6,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"7",1,15,7,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"8",1,15,8,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"9",1,16,1,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"10",1,16,2,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"11",1,16,3,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"12",1,16,4,"A","EDG","5",2,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"13",1,16,5,"B","EDG","5",2,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"14",1,16,6,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"15",1,16,7,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"16",1,16,8,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"17",1,17,1,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"18",1,17,2,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"19",1,17,3,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"20",1,17,4,"A","EDG","5",5,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"21",1,17,5,"B","EDG","5",1,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"22",1,17,6,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"23",1,17,7,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"24",1,17,8,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"25",1,18,1,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"26",1,18,2,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"27",1,18,3,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"28",1,18,4,"A","EDG","5",2,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"29",1,18,5,"B","EDG","5",2,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"30",1,18,6,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"31",1,18,7,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"32",1,18,8,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"33",1,19,1,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
